==14484== NVPROF is profiling process 14484, command: runnable.exe
==14484== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==14484== Profiling application: runnable.exe
==14484== Profiling result:
==14484== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex0_cache_sector_queries",0,103,52,5047
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex1_cache_sector_queries",0,103,50,4841
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex0_cache_sector_misses",0,103,53,5150
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex1_cache_sector_misses",0,103,49,4738
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp0_write_sectors",0,17,1,150
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_sector_misses",0,9,0,78
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_sector_misses",0,8,0,72
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_tex_sector_queries",36,66,49,4704
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_tex_sector_queries",36,66,53,5088
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_tex_sector_queries",0,1,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_tex_sector_queries",0,1,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_tex_hit_sectors",36,66,49,4704
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_tex_hit_sectors",36,66,53,5088
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_tex_hit_sectors",0,1,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_tex_hit_sectors",0,1,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_total_read_sector_queries",108,498,270,25921
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_total_read_sector_queries",44,284,65,6320
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_total_write_sector_queries",13,14,13,1296
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_total_write_sector_queries",0,1,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_sysmem_sector_queries",63,240,209,20137
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_sysmem_sector_queries",5,5,5,480
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"elapsed_cycles_sm",34668,52266,37278,3578691
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gld_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gld_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gld_inst_32bit",102,102,102,9792
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gld_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gld_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gst_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gst_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gst_inst_32bit",1,1,1,96
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gst_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gst_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_00",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_01",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_02",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_03",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_04",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_05",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_06",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"prof_trigger_07",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"warps_launched",1,1,1,96
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"inst_issued0",8769,11915,9250,888062
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"inst_issued1",1062,1065,1062,101956
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"inst_issued2",241,241,241,23136
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"inst_executed",1541,1541,1541,147936
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"thread_inst_executed",1540,1542,1540,147910
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"not_predicated_off_thread_inst_executed",1398,1400,1399,134324
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"active_cycles",10092,13423,10604,1018054
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"active_warps",10092,13072,10650,1022468
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"global_load",201,201,201,19296
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"global_store",1,1,1,96
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"generic_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"generic_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"inst_executed_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"active_cycles_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"local_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"local_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"shared_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"shared_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"inst_executed_shared_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"shared_atom",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"global_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"atom_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"gred_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"divergent_branch",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"branch",73,73,73,7008
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"shared_st_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"shared_ld_transactions",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"shared_st_transactions",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"active_cycles_pm",10092,13311,10613,1018890
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"active_warps_pm",10092,13312,10613,1018892
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"elapsed_cycles_pm",34683,64470,37598,3609498

==14484== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"inst_per_warp","Instructions per warp",1541.000000,1541.000000,1541.000000
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"warp_execution_efficiency","Warp Execution Efficiency",3.122972%,3.127028%,3.124451%
