==2052== NVPROF is profiling process 2052, command: runnable.exe
==2052== Profiling application: runnable.exe
==2052== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ms,ms,,,,,,,,B,B,,,,,
308.393900,0.001400,,,,,,,,,,,,,"cuDeviceGetCount",2
738.927300,1.098600,,,,,,,,,,,,,"cudaLaunchKernel",3
740.013114,0.009632,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",3
740.028700,0.037500,,,,,,,,,,,,,"cudaLaunchKernel",4
740.060761,0.009248,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",4
740.069200,0.024000,,,,,,,,,,,,,"cudaLaunchKernel",5
740.089881,0.009279,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",5
740.094400,0.021500,,,,,,,,,,,,,"cudaLaunchKernel",6
740.112952,0.009248,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",6
740.116900,0.023800,,,,,,,,,,,,,"cudaLaunchKernel",7
740.137624,0.009216,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",7
740.141800,0.021000,,,,,,,,,,,,,"cudaLaunchKernel",8
740.159927,0.009280,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",8
740.163900,0.020600,,,,,,,,,,,,,"cudaLaunchKernel",9
740.181879,0.009248,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",9
740.185600,0.020700,,,,,,,,,,,,,"cudaLaunchKernel",10
740.203639,0.009215,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",10
740.207400,0.020400,,,,,,,,,,,,,"cudaLaunchKernel",11
740.224342,0.009216,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",11
740.228900,0.023300,,,,,,,,,,,,,"cudaLaunchKernel",12
740.246678,0.009248,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",12
740.253400,0.022000,,,,,,,,,,,,,"cudaLaunchKernel",13
740.272469,0.009280,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",13
740.276500,0.020900,,,,,,,,,,,,,"cudaLaunchKernel",14
740.294037,0.009216,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",14
740.298600,0.020500,,,,,,,,,,,,,"cudaLaunchKernel",15
740.316533,0.009151,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",15
740.320200,0.020500,,,,,,,,,,,,,"cudaLaunchKernel",16
740.337365,0.009215,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",16
740.341700,0.020600,,,,,,,,,,,,,"cudaLaunchKernel",17
740.359572,0.009216,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",17
740.363300,0.020700,,,,,,,,,,,,,"cudaLaunchKernel",18
740.381204,0.009151,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",18
740.385000,0.020700,,,,,,,,,,,,,"cudaLaunchKernel",19
740.403028,0.009183,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",19
740.406700,0.025300,,,,,,,,,,,,,"cudaLaunchKernel",20
740.425907,0.009216,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",20
740.433100,0.025900,,,,,,,,,,,,,"cudaLaunchKernel",21
740.455219,0.009215,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",21
740.460000,0.020900,,,,,,,,,,,,,"cudaLaunchKernel",22
740.478130,0.009152,1,1,1,1,1,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",22
740.482000,0.020900,,,,,,,,,,,,,"cudaLaunchKernel",23
