==15672== NVPROF is profiling process 15672, command: runnable.exe
==15672== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15672== Profiling application: runnable.exe
==15672== Profiling result:
==15672== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex0_cache_sector_queries",0,1607,935,89808
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex1_cache_sector_queries",0,1607,668,64152
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex0_cache_sector_misses",0,863,457,43962
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"tex1_cache_sector_misses",0,863,404,38802
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp0_read_sectors",0,36,0,36
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp1_read_sectors",0,32,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp0_write_sectors",0,8,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_sector_misses",0,8,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_sector_misses",0,36,0,36
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_sector_misses",0,32,0,48
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_tex_sector_queries",380,464,420,40353
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_tex_sector_queries",390,474,433,41631
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_tex_sector_queries",0,4,2,193
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_tex_sector_queries",0,4,1,191
