==20724== NVPROF is profiling process 20724, command: runnable.exe
==20724== Profiling application: runnable.exe
==20724== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,
128.993900,1.100000,,,,,,,,,,,,,"cuDeviceGetCount",2
456.634300,764.700000,,,,,,,,,,,,,"cudaLaunchKernel",3
457.379101,10.049000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",3
457.401800,32.100000,,,,,,,,,,,,,"cudaLaunchKernel",4
457.429149,9.631000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",4
457.435100,20.900000,,,,,,,,,,,,,"cudaLaunchKernel",5
457.453468,9.600000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",5
457.456800,13.900000,,,,,,,,,,,,,"cudaLaunchKernel",6
457.469436,9.632000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",6
457.471200,13.800000,,,,,,,,,,,,,"cudaLaunchKernel",7
457.483804,9.600000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",7
457.485600,12.400000,,,,,,,,,,,,,"cudaLaunchKernel",8
457.496636,9.632000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",8
457.498500,14.500000,,,,,,,,,,,,,"cudaLaunchKernel",9
457.511739,9.632000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",9
457.513500,12.800000,,,,,,,,,,,,,"cudaLaunchKernel",10
457.525019,9.600000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",10
457.526800,13.900000,,,,,,,,,,,,,"cudaLaunchKernel",11
457.539419,9.568000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",11
457.541200,12.500000,,,,,,,,,,,,,"cudaLaunchKernel",12
457.553179,9.599000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",12
457.554200,13.600000,,,,,,,,,,,,,"cudaLaunchKernel",13
457.566778,9.600000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",13
457.568300,12.900000,,,,,,,,,,,,,"cudaLaunchKernel",14
457.580794,9.664000,2,2,1,5,5,1,28,0,0,"NVIDIA GeForce MX250 (0)","1","7","convolution_base(float*, float*, float*, int, int, int, int)",14
457.581700,13.800000,,,,,,,,,,,,,"cudaLaunchKernel",15
