==6240== NVPROF is profiling process 6240, command: runnable.exe
==6240== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6240== Profiling application: runnable.exe
==6240== Profiling result:
==6240== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"tex0_cache_sector_queries",952,1172,1061,101916
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"tex1_cache_sector_queries",951,1170,1061,101928
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"tex0_cache_sector_misses",417,519,469,45038
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"tex1_cache_sector_misses",417,519,473,45430
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"fb_subp1_read_sectors",0,20,0,44
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"fb_subp0_write_sectors",0,13,1,130
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_sector_misses",0,5,0,58
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_sector_misses",0,8,0,72
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_sector_misses",0,8,0,8
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_sector_misses",0,12,0,36
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_tex_sector_queries",116,788,436,41948
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_tex_sector_queries",113,793,456,43816
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_tex_sector_queries",12,16,14,1344
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_tex_sector_queries",9,19,14,1344
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_tex_hit_sectors",116,788,436,41948
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_tex_hit_sectors",113,793,456,43816
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_tex_hit_sectors",12,16,14,1344
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_tex_hit_sectors",9,19,14,1344
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_total_read_sector_queries",203,1166,682,65551
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_total_read_sector_queries",124,841,484,46504
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_total_write_sector_queries",21,25,23,2208
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_total_write_sector_queries",13,23,18,1728
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_read_sysmem_sector_queries",66,265,218,20969
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp0_write_sysmem_sector_queries",1,1,1,96
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_subp1_write_sysmem_sector_queries",4,4,4,384
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"elapsed_cycles_sm",36006,64707,40252,3864195
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_inst_32bit",5321,5321,5321,510816
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_inst_32bit",196,196,196,18816
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_00",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_01",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_02",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_03",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_04",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_05",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_06",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"prof_trigger_07",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"warps_launched",28,28,28,2688
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_issued0",35708,52058,39124,3755924
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_issued1",9429,9449,9429,905204
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_issued2",1365,1367,1365,131042
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_executed",12075,12075,12075,1159200
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"thread_inst_executed",338100,338100,338100,32457600
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"not_predicated_off_thread_inst_executed",253346,253352,253348,24321486
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"active_cycles",11927,15207,12742,1223326
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"active_warps",86046,115658,91041,8739936
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"global_load",1603,1603,1603,153888
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"global_store",7,7,7,672
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"generic_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"generic_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_executed_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"active_cycles_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"local_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"local_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_store",56,56,56,5376
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_executed_shared_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_atom",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"global_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"atom_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gred_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"divergent_branch",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"branch",462,462,462,44352
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_st_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_ld_transactions",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_st_transactions",7,7,7,672
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"active_cycles_pm",11919,15819,12848,1233490
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"active_warps_pm",86228,114766,92413,8871664
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"elapsed_cycles_pm",36312,68625,40550,3892887

==6240== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_per_warp","Instructions per warp",431.250000,431.250000,431.250000
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"warp_execution_efficiency","Warp Execution Efficiency",87.500000%,87.500000%,87.500000%
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",65.565735%,65.567288%,65.566463%
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"inst_replay_overhead","Instruction Replay Overhead",0.006957,0.008944,0.006977
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",0.125000,0.125000,0.125000
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_transactions_per_request","Global Load Transactions Per Request",4.590143,4.590143,4.590143
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_transactions_per_request","Global Store Transactions Per Request",3.571429,4.428571,4.000000
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_store_transactions","Shared Store Transactions",7,7,7
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"shared_load_transactions","Shared Load Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"local_store_transactions","Local Store Transactions",0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_transactions","Global Load Transactions",7358,7358,7358
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_transactions","Global Store Transactions",25,31,28
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"sysmem_read_transactions","System Memory Read Transactions",0,1,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_read_transactions","L2 Read Transactions",959,1425,1167
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"l2_write_transactions","L2 Write Transactions",38,44,41
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"global_hit_rate","Global Hit Rate in unified l1/tex",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_requested_throughput","Requested Global Load Throughput",149.476091MB/s,1.094119GB/s,176.858311MB/s
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gst_requested_throughput","Requested Global Store Throughput",9.435528MB/s,70.722726MB/s,11.163989MB/s
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",96,"gld_throughput","Global Load Throughput",338.376032MB/s,2.565277GB/s,407.087410MB/s
