==26844== NVPROF is profiling process 26844, command: runnable.exe
==26844== Profiling application: runnable.exe
==26844== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,
153.030200,1.400000,,,,,,,,,,,,,"cuDeviceGetCount",2
532.863100,781.600000,,,,,,,,,,,,,"cudaLaunchKernel",3
533.637432,6.145000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",3
533.646600,17.300000,,,,,,,,,,,,,"cudaLaunchKernel",4
533.661976,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",4
533.664400,13.300000,,,,,,,,,,,,,"cudaLaunchKernel",5
533.676568,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",5
533.678200,14.000000,,,,,,,,,,,,,"cudaLaunchKernel",6
533.692700,12.600000,,,,,,,,,,,,,"cudaLaunchKernel",7
533.692760,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",6
533.704983,5.441000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",7
533.705800,15.700000,,,,,,,,,,,,,"cudaLaunchKernel",8
533.722100,13.300000,,,,,,,,,,,,,"cudaLaunchKernel",9
533.722487,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",8
533.734167,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",9
533.735900,26.500000,,,,,,,,,,,,,"cudaLaunchKernel",10
533.761303,5.439000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",10
533.762900,12.900000,,,,,,,,,,,,,"cudaLaunchKernel",11
533.774839,5.439000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",11
533.776400,12.400000,,,,,,,,,,,,,"cudaLaunchKernel",12
533.788598,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",12
533.789300,39.700000,,,,,,,,,,,,,"cudaLaunchKernel",13
533.822550,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",13
533.830800,26.500000,,,,,,,,,,,,,"cudaLaunchKernel",14
533.852949,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",14
533.858600,22.000000,,,,,,,,,,,,,"cudaLaunchKernel",15
533.878004,5.441000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",15
533.881500,21.200000,,,,,,,,,,,,,"cudaLaunchKernel",16
533.899988,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",16
533.903600,39.600000,,,,,,,,,,,,,"cudaLaunchKernel",17
533.939187,5.441000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",17
533.944100,20.400000,,,,,,,,,,,,,"cudaLaunchKernel",18
533.962579,5.504000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",18
533.965300,19.000000,,,,,,,,,,,,,"cudaLaunchKernel",19
533.980435,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",19
533.985400,20.500000,,,,,,,,,,,,,"cudaLaunchKernel",20
534.003602,5.441000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",20
534.006600,17.500000,,,,,,,,,,,,,"cudaLaunchKernel",21
534.021234,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",21
534.024800,17.800000,,,,,,,,,,,,,"cudaLaunchKernel",22
534.040018,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",22
534.043400,17.400000,,,,,,,,,,,,,"cudaLaunchKernel",23
534.058801,5.441000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",23
534.061600,38.600000,,,,,,,,,,,,,"cudaLaunchKernel",24
534.097457,5.408000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",24
534.101100,18.000000,,,,,,,,,,,,,"cudaLaunchKernel",25
534.117233,5.471000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",25
534.120000,34.100000,,,,,,,,,,,,,"cudaLaunchKernel",26
534.151376,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",26
534.154900,17.800000,,,,,,,,,,,,,"cudaLaunchKernel",27
534.170096,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",27
534.173500,18.100000,,,,,,,,,,,,,"cudaLaunchKernel",28
534.189680,5.471000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",28
534.192400,17.600000,,,,,,,,,,,,,"cudaLaunchKernel",29
534.207183,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",29
534.210800,30.700000,,,,,,,,,,,,,"cudaLaunchKernel",30
534.240143,5.439000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",30
534.242400,18.200000,,,,,,,,,,,,,"cudaLaunchKernel",31
534.258094,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",31
534.261400,17.000000,,,,,,,,,,,,,"cudaLaunchKernel",32
534.276462,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",32
534.279300,17.300000,,,,,,,,,,,,,"cudaLaunchKernel",33
534.294830,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",33
534.297500,17.600000,,,,,,,,,,,,,"cudaLaunchKernel",34
534.312301,5.408000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",34
534.315900,17.800000,,,,,,,,,,,,,"cudaLaunchKernel",35
534.331597,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",35
534.334500,16.900000,,,,,,,,,,,,,"cudaLaunchKernel",36
534.348717,5.439000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",36
534.352200,30.500000,,,,,,,,,,,,,"cudaLaunchKernel",37
534.381708,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",37
534.383600,18.300000,,,,,,,,,,,,,"cudaLaunchKernel",38
534.400300,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",38
534.402700,17.600000,,,,,,,,,,,,,"cudaLaunchKernel",39
534.418475,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",39
534.421100,17.400000,,,,,,,,,,,,,"cudaLaunchKernel",40
534.437035,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",40
534.439300,18.100000,,,,,,,,,,,,,"cudaLaunchKernel",41
534.454667,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",41
534.458200,17.800000,,,,,,,,,,,,,"cudaLaunchKernel",42
534.473162,5.441000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",42
534.476800,17.900000,,,,,,,,,,,,,"cudaLaunchKernel",43
534.492010,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",43
534.495400,17.900000,,,,,,,,,,,,,"cudaLaunchKernel",44
534.511530,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",44
534.514200,17.500000,,,,,,,,,,,,,"cudaLaunchKernel",45
534.529994,5.408000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",45
534.532500,17.300000,,,,,,,,,,,,,"cudaLaunchKernel",46
534.547114,5.471000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",46
534.550600,18.000000,,,,,,,,,,,,,"cudaLaunchKernel",47
534.566537,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",47
534.569400,17.300000,,,,,,,,,,,,,"cudaLaunchKernel",48
534.584233,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",48
534.587500,17.400000,,,,,,,,,,,,,"cudaLaunchKernel",49
534.602537,5.439000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",49
534.605700,17.200000,,,,,,,,,,,,,"cudaLaunchKernel",50
534.620104,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",50
534.623700,18.300000,,,,,,,,,,,,,"cudaLaunchKernel",51
534.638824,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",51
534.643300,17.300000,,,,,,,,,,,,,"cudaLaunchKernel",52
534.657992,5.439000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",52
534.661300,16.700000,,,,,,,,,,,,,"cudaLaunchKernel",53
534.675463,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",53
534.678700,17.400000,,,,,,,,,,,,,"cudaLaunchKernel",54
534.694087,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",54
534.696800,17.000000,,,,,,,,,,,,,"cudaLaunchKernel",55
534.711110,5.441000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",55
534.714800,28.900000,,,,,,,,,,,,,"cudaLaunchKernel",56
534.741222,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",56
534.744600,18.200000,,,,,,,,,,,,,"cudaLaunchKernel",57
534.760678,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",57
534.763600,17.900000,,,,,,,,,,,,,"cudaLaunchKernel",58
534.779685,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",58
534.782200,17.500000,,,,,,,,,,,,,"cudaLaunchKernel",59
534.797925,5.472000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",59
534.800500,17.600000,,,,,,,,,,,,,"cudaLaunchKernel",60
534.815685,5.440000,2,2,1,14,14,1,26,0,500,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",60
534.818800,27.200000,,,,,,,,,,,,,"cudaLaunchKernel",61
