==30360== NVPROF is profiling process 30360, command: runnable.exe
==30360== Profiling application: runnable.exe
==30360== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ms,us,,,,,,,,B,KB,,,,,
142.233000,1.300000,,,,,,,,,,,,,"cuDeviceGetCount",2
404.788400,888.100000,,,,,,,,,,,,,"cudaLaunchKernel",3
405.668670,5.888000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",3
405.678600,19.000000,,,,,,,,,,,,,"cudaLaunchKernel",4
405.695518,5.120000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",4
405.698400,15.300000,,,,,,,,,,,,,"cudaLaunchKernel",5
405.711966,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",5
405.714400,14.800000,,,,,,,,,,,,,"cudaLaunchKernel",6
405.727389,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",6
405.729900,14.400000,,,,,,,,,,,,,"cudaLaunchKernel",7
405.742717,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",7
405.745000,24.100000,,,,,,,,,,,,,"cudaLaunchKernel",8
405.767261,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",8
405.769800,14.400000,,,,,,,,,,,,,"cudaLaunchKernel",9
405.782492,5.120000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",9
405.784900,27.000000,,,,,,,,,,,,,"cudaLaunchKernel",10
405.809916,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",10
405.812800,15.400000,,,,,,,,,,,,,"cudaLaunchKernel",11
405.826587,5.089000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",11
405.828900,14.000000,,,,,,,,,,,,,"cudaLaunchKernel",12
405.841243,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",12
405.843500,14.100000,,,,,,,,,,,,,"cudaLaunchKernel",13
405.856347,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",13
405.858300,13.800000,,,,,,,,,,,,,"cudaLaunchKernel",14
405.870683,5.088000,2,2,1,14,14,1,26,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_shared(float*, float*, float*, int, int, int, int)",14
