==4924== NVPROF is profiling process 4924, command: runnable.exe
==4924== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==4924== Profiling application: runnable.exe
==4924== Profiling result:
==4924== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"tex0_cache_sector_queries",328,331,329,1976
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"tex1_cache_sector_queries",329,332,330,1983
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"tex0_cache_sector_misses",221,222,221,1327
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"tex1_cache_sector_misses",222,223,222,1334
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"fb_subp0_write_sectors",0,13,2,13
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_write_sector_misses",0,8,1,8
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_write_sector_misses",0,5,0,5
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_read_tex_sector_queries",119,134,123,741
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_read_tex_sector_queries",113,129,124,744
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_write_tex_sector_queries",55,63,56,338
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_write_tex_sector_queries",49,57,55,334
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_read_tex_hit_sectors",119,134,123,741
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_read_tex_hit_sectors",113,129,124,744
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_write_tex_hit_sectors",55,63,56,338
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_write_tex_hit_sectors",49,57,55,334
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_total_read_sector_queries",127,142,131,789
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_total_read_sector_queries",152,167,161,970
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_total_write_sector_queries",67,75,68,410
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp1_total_write_sector_queries",50,58,56,340
"NVIDIA GeForce MX250 (0)","convolution_shared(float*, float*, float*, int, int, int, int)",6,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
