==23532== NVPROF is profiling process 23532, command: runnable.exe
==23532== Profiling application: runnable.exe
==23532== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","Name","Correlation_ID"
ms,us,,,,,,,,B,KB,,,,,
125.377900,1.100000,,,,,,,,,,,,,"cuDeviceGetCount",2
402.070200,738.200000,,,,,,,,,,,,,"cudaLaunchKernel",3
402.795763,4.608000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",3
402.810400,37.200000,,,,,,,,,,,,,"cudaLaunchKernel",4
402.839347,3.936000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",4
402.849100,21.500000,,,,,,,,,,,,,"cudaLaunchKernel",5
402.868339,3.839000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",5
402.871300,16.800000,,,,,,,,,,,,,"cudaLaunchKernel",6
402.884914,3.936000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",6
402.889100,29.100000,,,,,,,,,,,,,"cudaLaunchKernel",7
402.912050,3.872000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",7
402.919800,33.200000,,,,,,,,,,,,,"cudaLaunchKernel",8
402.948401,3.904000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",8
402.954100,30.200000,,,,,,,,,,,,,"cudaLaunchKernel",9
402.977937,3.839000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",9
402.985500,18.100000,,,,,,,,,,,,,"cudaLaunchKernel",10
403.002320,3.904000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",10
403.004200,12.100000,,,,,,,,,,,,,"cudaLaunchKernel",11
403.015504,3.840000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",11
403.016800,11.300000,,,,,,,,,,,,,"cudaLaunchKernel",12
403.027280,3.904000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",12
403.028600,19.700000,,,,,,,,,,,,,"cudaLaunchKernel",13
403.047760,3.839000,1,1,1,14,14,1,30,0,1.156250,"NVIDIA GeForce MX250 (0)","1","7","convolution_optimized(float*, float*, float*, int, int, int, int)",13
403.048700,11.100000,,,,,,,,,,,,,"cudaLaunchKernel",14
