==1612== NVPROF is profiling process 1612, command: runnable.exe
==1612== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1612== Profiling application: runnable.exe
==1612== Profiling result:
==1612== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"tex0_cache_sector_queries",4466,4466,4466,26796
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"tex1_cache_sector_queries",4466,4466,4466,26796
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"tex0_cache_sector_misses",1904,1904,1904,11424
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"tex1_cache_sector_misses",1904,1904,1904,11424
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"fb_subp0_write_sectors",4,4,4,24
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"l2_subp1_write_sector_misses",4,4,4,24
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_base(float*, float*, float*, int, int, int, int)",6,"l2_subp0_read_tex_sector_queries",1455,2163,1755,10530
