==22600== NVPROF is profiling process 22600, command: runnable.exe
==22600== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22600== Profiling application: runnable.exe
==22600== Profiling result:
==22600== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex0_cache_sector_queries",74956,74956,74956,74956
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex1_cache_sector_queries",80029,80029,80029,80029
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex0_cache_sector_misses",44034,44034,44034,44034
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex1_cache_sector_misses",47347,47347,47347,47347
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",44506,44506,44506,44506
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",45938,45938,45938,45938
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",414,414,414,414
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",408,408,408,408
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",44506,44506,44506,44506
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",45938,45938,45938,45938
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",414,414,414,414
"NVIDIA GeForce MX250 (0)","convolution_forNOutChannels(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",408,408,408,408
