==12084== NVPROF is profiling process 12084, command: runnable.exe
==12084== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12084== Profiling application: runnable.exe
==12084== Profiling result:
==12084== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"tex0_cache_sector_queries",30638,30638,30638,30638
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"tex1_cache_sector_queries",30803,30803,30803,30803
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"tex0_cache_sector_misses",16712,16712,16712,16712
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"tex1_cache_sector_misses",16679,16679,16679,16679
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"fb_subp0_write_sectors",13,13,13,13
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",5,5,5,5
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",8,8,8,8
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",15519,15519,15519,15519
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",16316,16316,16316,16316
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",708,708,708,708
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",698,698,698,698
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",15519,15519,15519,15519
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",16316,16316,16316,16316
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",708,708,708,708
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",698,698,698,698
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_total_read_sector_queries",15527,15527,15527,15527
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_total_read_sector_queries",16386,16386,16386,16386
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_total_write_sector_queries",720,720,720,720
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_total_write_sector_queries",699,699,699,699
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_sysmem_sector_queries",76,76,76,76
"NVIDIA GeForce MX250 (0)","convolution_3D(float*, float*, float*, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_sysmem_sector_queries",4,4,4,4
