==10988== NVPROF is profiling process 10988, command: runnable.exe
==10988== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10988== Profiling application: runnable.exe
==10988== Profiling result:
==10988== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex0_cache_sector_queries",1389,1389,1389,1389
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex1_cache_sector_queries",1394,1394,1394,1394
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex0_cache_sector_misses",994,994,994,994
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"tex1_cache_sector_misses",995,995,995,995
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp0_write_sectors",49,49,49,49
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"fb_subp1_write_sectors",36,36,36,36
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",49,49,49,49
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",36,36,36,36
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",403,403,403,403
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",410,410,410,410
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",338,338,338,338
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",334,334,334,334
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",403,403,403,403
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",410,410,410,410
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",338,338,338,338
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",334,334,334,334
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_total_read_sector_queries",458,458,458,458
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_total_read_sector_queries",418,418,418,418
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_total_write_sector_queries",351,351,351,351
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_total_write_sector_queries",334,334,334,334
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_read_sysmem_sector_queries",49,49,49,49
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp0_write_sysmem_sector_queries",5,5,5,5
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"l2_subp1_write_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","convolution_3D_shared(float*, float*, float*, int, int, int, int, int, int, int, int, int, int)",1,"elapsed_cycles_sm",38079,38079,38079,38079
