==24088== NVPROF is profiling process 24088, command: runnable.exe
==24088== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24088== Profiling application: runnable.exe
==24088== Profiling result:
==24088== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"tex0_cache_sector_queries",3147,3147,3147,3147
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"tex1_cache_sector_queries",3378,3378,3378,3378
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"tex0_cache_sector_misses",1297,1297,1297,1297
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"tex1_cache_sector_misses",1403,1403,1403,1403
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_read_tex_sector_queries",1230,1230,1230,1230
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_read_tex_sector_queries",1320,1320,1320,1320
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_write_tex_sector_queries",35,35,35,35
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_write_tex_sector_queries",40,40,40,40
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",1230,1230,1230,1230
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",1320,1320,1320,1320
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",35,35,35,35
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",40,40,40,40
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_total_read_sector_queries",1238,1238,1238,1238
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_total_read_sector_queries",1350,1350,1350,1350
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_total_write_sector_queries",47,47,47,47
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_total_write_sector_queries",41,41,41,41
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_read_sysmem_sector_queries",22,22,22,22
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp0_write_sysmem_sector_queries",4,4,4,4
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"l2_subp1_write_sysmem_sector_queries",1,1,1,1
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"elapsed_cycles_sm",23553,23553,23553,23553
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"gld_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"gld_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"gld_inst_32bit",30000,30000,30000,30000
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"gld_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"gld_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product(float*, float*, float*, int, int, int)",1,"gst_inst_8bit",0,0,0,0
