==25432== NVPROF is profiling process 25432, command: runnable.exe
==25432== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25432== Profiling application: runnable.exe
==25432== Profiling result:
==25432== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"tex0_cache_sector_queries",2992,2992,2992,2992
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"tex1_cache_sector_queries",2860,2860,2860,2860
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"tex0_cache_sector_misses",1064,1064,1064,1064
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"tex1_cache_sector_misses",1059,1059,1059,1059
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp0_read_tex_sector_queries",944,944,944,944
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp1_read_tex_sector_queries",1054,1054,1054,1054
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp0_write_tex_sector_queries",31,31,31,31
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp1_write_tex_sector_queries",32,32,32,32
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",944,944,944,944
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",1054,1054,1054,1054
"NVIDIA GeForce MX250 (0)","matrix_transpose_product(float*, float*, float*, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",31,31,31,31
