==26692== NVPROF is profiling process 26692, command: runnable.exe
==26692== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26692== Profiling application: runnable.exe
==26692== Profiling result:
==26692== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"tex0_cache_sector_queries",443,443,443,443
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"tex1_cache_sector_queries",451,451,451,451
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"tex0_cache_sector_misses",395,395,395,395
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"tex1_cache_sector_misses",375,375,375,375
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",303,303,303,303
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",317,317,317,317
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",42,42,42,42
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",303,303,303,303
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",317,317,317,317
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",42,42,42,42
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_total_read_sector_queries",311,311,311,311
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_total_read_sector_queries",353,353,353,353
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_total_write_sector_queries",50,50,50,50
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_total_write_sector_queries",53,53,53,53
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_read_sysmem_sector_queries",28,28,28,28
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_write_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_write_sysmem_sector_queries",5,5,5,5
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"elapsed_cycles_sm",26028,26028,26028,26028
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gld_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gld_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gld_inst_32bit",1250,1250,1250,1250
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gld_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gld_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gst_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gst_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gst_inst_32bit",600,600,600,600
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gst_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"gst_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_00",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_01",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_02",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_03",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_04",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_05",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_06",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"prof_trigger_07",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"warps_launched",32,32,32,32
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"inst_issued0",10964,10964,10964,10964
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"inst_issued1",4228,4228,4228,4228
"NVIDIA GeForce MX250 (0)","matrix_product_transpose_shared(float*, float*, float*, int, int, int, int)",1,"inst_issued2",2464,2464,2464,2464
