==15536== NVPROF is profiling process 15536, command: runnable.exe
==15536== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15536== Profiling application: runnable.exe
==15536== Profiling result:
==15536== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"tex0_cache_sector_queries",263,263,263,263
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"tex1_cache_sector_queries",256,256,256,256
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"tex0_cache_sector_misses",174,174,174,174
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"tex1_cache_sector_misses",171,171,171,171
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",95,95,95,95
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",100,100,100,100
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",42,42,42,42
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",95,95,95,95
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",100,100,100,100
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",42,42,42,42
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",48,48,48,48
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_total_read_sector_queries",130,130,130,130
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_total_read_sector_queries",108,108,108,108
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp0_total_write_sector_queries",51,51,51,51
"NVIDIA GeForce MX250 (0)","matrix_product_shared(float*, float*, float*, int, int, int, int)",1,"l2_subp1_total_write_sector_queries",52,52,52,52
