==10676== NVPROF is profiling process 10676, command: runnable.exe
==10676== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10676== Profiling application: runnable.exe
==10676== Profiling result:
==10676== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"tex0_cache_sector_queries",74,110,97,291
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"tex1_cache_sector_queries",74,116,88,266
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"tex0_cache_sector_misses",54,84,73,219
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"tex1_cache_sector_misses",52,88,64,194
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_read_tex_sector_queries",46,70,55,166
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_read_tex_sector_queries",46,66,58,174
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_write_tex_sector_queries",3,9,6,19
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_write_tex_sector_queries",4,8,6,18
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_read_tex_hit_sectors",46,70,55,166
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_read_tex_hit_sectors",46,66,58,174
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_write_tex_hit_sectors",3,9,6,19
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_write_tex_hit_sectors",4,8,6,18
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_total_read_sector_queries",54,78,63,190
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_total_read_sector_queries",61,81,73,220
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_total_write_sector_queries",11,17,14,43
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_total_write_sector_queries",9,13,11,33
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_read_sysmem_sector_queries",9,15,13,39
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp0_write_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"l2_subp1_write_sysmem_sector_queries",5,5,5,15
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"elapsed_cycles_sm",18624,18765,18673,56019
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gld_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gld_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gld_inst_32bit",324,324,324,972
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gld_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gld_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gst_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gst_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gst_inst_32bit",81,81,81,243
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gst_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gst_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_00",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_01",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_02",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_03",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_04",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_05",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_06",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"prof_trigger_07",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"warps_launched",3,3,3,9
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"inst_issued0",5456,5507,5479,16439
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"inst_issued1",291,291,291,873
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"inst_issued2",60,60,60,180
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"inst_executed",399,399,399,1197
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"thread_inst_executed",10774,10774,10774,32322
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"not_predicated_off_thread_inst_executed",9882,9882,9882,29646
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"active_cycles",1964,1982,1974,5923
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"active_warps",5858,5920,5890,17670
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"global_load",12,12,12,36
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"global_store",3,3,3,9
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"generic_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"generic_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"inst_executed_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"active_cycles_in_trap",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"local_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"local_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"shared_load",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"shared_store",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"inst_executed_shared_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"shared_atom",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"global_atom_cas",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"atom_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"gred_count",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"divergent_branch",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"branch",69,69,69,207
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"shared_ld_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"shared_st_bank_conflict",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"shared_ld_transactions",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"shared_st_transactions",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"active_cycles_pm",1965,1981,1975,5925
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"active_warps_pm",5870,5912,5890,17672
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"elapsed_cycles_pm",18465,18930,18691,56073

==10676== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"inst_per_warp","Instructions per warp",133.000000,133.000000,133.000000
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"NVIDIA GeForce MX250 (0)","avg_pooling(float*, float*, int, int, int, int, int, int)",3,"warp_execution_efficiency","Warp Execution Efficiency",84.382832%,84.382832%,84.382832%
