==29908== NVPROF is profiling process 29908, command: runnable.exe
==29908== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29908== Profiling application: runnable.exe
==29908== Profiling result:
==29908== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"tex0_cache_sector_queries",2560,2560,2560,2560
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"tex1_cache_sector_queries",2560,2560,2560,2560
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"tex0_cache_sector_misses",2048,2048,2048,2048
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"tex1_cache_sector_misses",2048,2048,2048,2048
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",1024,1024,1024,1024
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",1024,1024,1024,1024
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",768,768,768,768
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_sector_queries",768,768,768,768
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_hit_sectors",1024,1024,1024,1024
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_hit_sectors",1024,1024,1024,1024
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_hit_sectors",768,768,768,768
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_write_tex_hit_sectors",768,768,768,768
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_total_read_sector_queries",1054,1054,1054,1054
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_total_read_sector_queries",1032,1032,1032,1032
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_total_write_sector_queries",781,781,781,781
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_total_write_sector_queries",768,768,768,768
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_sysmem_sector_queries",30,30,30,30
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_sysmem_sector_queries",5,5,5,5
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_write_sysmem_sector_queries",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"elapsed_cycles_sm",28809,28809,28809,28809
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gld_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gld_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gld_inst_32bit",8192,8192,8192,8192
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gld_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gld_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gst_inst_8bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gst_inst_16bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gst_inst_32bit",4096,4096,4096,4096
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gst_inst_64bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"gst_inst_128bit",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_00",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_01",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_02",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_03",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_04",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_05",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_06",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"prof_trigger_07",0,0,0,0
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"warps_launched",32,32,32,32
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"inst_issued0",11897,11897,11897,11897
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"inst_issued1",5659,5659,5659,5659
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"inst_issued2",992,992,992,992
"NVIDIA GeForce MX250 (0)","inverse_avg_pooling_monolithic(float*, float*, float*, int, int, int, int, int, int, int)",1,"inst_executed",7488,7488,7488,7488
