==26252== NVPROF is profiling process 26252, command: runnable.exe
==26252== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==26252== Profiling application: runnable.exe
==26252== Profiling result:
==26252== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"tex0_cache_sector_queries",282,282,282,282
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"tex1_cache_sector_queries",267,267,267,267
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"tex0_cache_sector_misses",210,210,210,210
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"tex1_cache_sector_misses",197,197,197,197
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"fb_subp0_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"fb_subp1_read_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"fb_subp0_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"fb_subp1_write_sectors",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_write_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_sector_misses",0,0,0,0
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_read_tex_sector_queries",166,166,166,166
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"l2_subp1_read_tex_sector_queries",180,180,180,180
"NVIDIA GeForce MX250 (0)","avg_pooling_monolithic(float*, float*, int, int, int, int, int, int, int)",1,"l2_subp0_write_tex_sector_queries",15,15,15,15
